gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
RPL9P9,17.8142076931637,-28.0971256014003,5.16516528471089,4.27050198462016e-09,3.74726929106777e-07
AL121944.1,11.3462770832178,6.45485764517123,1.16388256099382,4.45011555532055e-09,3.8667102962549e-07
AC103702.2,9.28306803472974,6.51589828810943,1.18152110103577,5.08051346907486e-09,4.39034098360382e-07
MIR200CHG,4.43436257865596,5.77150998819477,1.03373006826249,5.33771121586925e-09,4.58753071563893e-07
GIP,6.74939815815695,20.8396102303021,4.52708035475317,5.37664166571506e-09,4.59601142170908e-07
MDP1,3.57824850168564,5.52855508275475,0.987215826594935,5.44401408418071e-09,4.62858272727063e-07
KLK6,15.2499281582577,6.78571679355656,1.24364811933443,5.80246052222384e-09,4.90695779136085e-07
LMTK3,9.1732592716244,3.00322402279133,0.558804902734679,5.86556365096462e-09,4.93393742427418e-07
BX284668.5,5.19675318220695,5.95193923202813,1.07368479316189,6.06739944840973e-09,5.07671189826198e-07
MUC4,41.8040258688255,4.33755474409399,0.770802566940149,6.40621046023558e-09,5.33199011674555e-07
BST2,78.364012021512,2.99311211290207,0.560596450004652,6.76310970449188e-09,5.59957156370862e-07
TMEM192,8.18095146563377,-1.63507457494063,0.343274132703859,7.05158863557582e-09,5.72286548363087e-07
PACSIN3,8.75007964483933,-1.72850620327323,0.36751678995192,7.05677734480852e-09,5.72286548363087e-07
MTRNR2L1,15.4609712586827,7.01709406272664,1.30260534276258,7.05603136622576e-09,5.72286548363087e-07
SMIM31,12.4818796249214,6.50947608801699,1.19287732514311,7.00737669835128e-09,5.72286548363087e-07
AL035071.1,2.88901244162651,5.36001238434507,0.964995769182433,7.53899831418336e-09,6.08274078267835e-07
FAHD2A,10.8358279487187,-1.21876446804663,0.232693370020229,7.67565034930158e-09,6.16156013319062e-07
HRCT1,2.33791310542565,5.07256609186715,0.910986425169753,7.757427315229e-09,6.19575533146623e-07
FUOM,27.1324454507494,2.2471588971303,0.470665365759969,7.82331206186377e-09,6.21697773599566e-07
AC020656.1,58.9537441159147,7.28545383504772,1.36952980130256,7.99999182998381e-09,6.3255935399682e-07
LAT,6.3279533023661,5.50972811158475,0.99609696828027,8.04410364924527e-09,6.32882861239625e-07
C9orf16,112.06545092244,1.92702962586678,0.416008942687456,8.38063589734629e-09,6.56095921191259e-07
EPHB2,10.0672374590498,3.70691786193037,0.671119841116235,8.91322047680964e-09,6.94353047390481e-07
HMGN2,205.856699178285,2.1050480695154,0.451095824219159,9.06791637728805e-09,7.02941321521732e-07
AC092683.1,8.90061589897854,6.46783085000114,1.19571448961068,9.32818317336337e-09,7.19589700993016e-07
HIST2H2AA3,4.77828474521536,5.71040414148969,1.04102666178174,9.44302132606252e-09,7.24912326458023e-07
ING4,10.4613843754947,-1.59238052493179,0.335776831957558,9.49655301594132e-09,7.25499948763749e-07
RPL3P4,11.8667210736665,-27.3467862291149,5.28321038021467,9.85746019850866e-09,7.49451324900077e-07
AC100810.1,5.01483538308368,5.57813632719041,1.01653504058097,9.92867542267604e-09,7.51253938441143e-07
TNFRSF11B,4.4757230021623,5.32022948466511,0.968453691961363,1.06932721552606e-08,8.05254313634723e-07
ANKRD22,37.4417929560642,-2.47475786214174,0.508143106635795,1.09872018393726e-08,8.19583065508668e-07
AP002360.1,2.69520666049273,5.3265666521574,0.970553090960323,1.09822087845172e-08,8.19583065508668e-07
HOMER2,12.3281392299311,-3.34080070072266,0.619795250204688,1.11784076453647e-08,8.29931166684498e-07
DNAJC3-DT,5.41995363938304,6.01606343952425,1.1095643150393,1.13938883885479e-08,8.4197640643223e-07
TMSB15B,2.14482238089351,4.9093762634647,0.891735235510589,1.14567492432516e-08,8.42683872245492e-07
REG4,545.138119052233,4.24406091294035,0.769959013959224,1.17849917490299e-08,8.62814164440552e-07
FABP6,6.54882183661458,4.68414946407302,0.850982357549536,1.20825285144472e-08,8.78847635769801e-07
AC103591.3,4.82337806253875,5.83023438499858,1.07397602537081,1.21151375109281e-08,8.78847635769801e-07
S100A9,46.0926989037725,5.35637288989318,0.98128936984865,1.27480285557786e-08,9.20535724114531e-07
C12orf45,22.0629539311824,-1.09252245212559,0.207035079254077,1.30338220915437e-08,9.36894829798513e-07
RP11-234A1.1,8.82958392690756,-27.077669687377,5.33586400045706,1.31183225392371e-08,9.38702048124412e-07
AC016831.1,3.63611843814052,5.58474878056648,1.02846887339288,1.34996038779951e-08,9.6163394471448e-07
AL451165.2,4.4332812970858,5.4139889908504,0.996980000585778,1.44953985928848e-08,1.02793826613399e-06
RP11-543P15.1,8.09987375176449,-26.9362586565805,5.36582558793652,1.51940333083388e-08,1.07267161936638e-06
THG1L,8.67067698785679,-1.01063603123655,0.190714805272282,1.7292215347981e-08,1.21537374894654e-06
CDX2,8.48592926604964,3.43708573583792,0.645922121954529,1.79750659041426e-08,1.25777739915093e-06
AC012360.3,2.95763576767114,5.34742148460667,0.991557695585379,1.81678351038903e-08,1.26566583406574e-06
RPL13P12,7.0251971304037,-26.7217058326762,5.41437824871008,1.8905125883626e-08,1.31125289791079e-06
RPL18AP3,6.99402464199794,-26.71671412248,5.41555286539099,1.90003096114448e-08,1.31209998338598e-06
NME1-NME2,5.91138609048771,6.03897059521738,1.13486767688368,1.9249757076824e-08,1.32354634092563e-06
SI,6.35021493755986,6.05363272959997,1.14199882073718,2.12544760039514e-08,1.44878570485555e-06
HIST1H4C,218.240644284247,2.83443480894222,0.567430313175353,2.12140355605947e-08,1.44878570485555e-06
NAIP,6.98791159981477,5.65878072047955,1.06043354318444,2.15170179053743e-08,1.46038678607549e-06
TOM1L1,30.3903414393186,-1.38024586231169,0.285975470813723,2.17400773605982e-08,1.469220441797e-06
TMEM191C,2.15674019529821,4.98122107558362,0.926076155921314,2.20327301246912e-08,1.48266210294411e-06
AC025159.1,3.38738327391656,5.36134936944765,1.00126809101336,2.2133479635105e-08,1.48313070741335e-06
ZBED3,5.68728503703916,-2.06106368458737,0.4611799977274,2.25771069428857e-08,1.50647413162361e-06
